date,trans0,trans1,trans2,comm0,comm1,comm2,zan0,zan1,zan2
2019/1/1,681,145,56864,1002,1077,22478,2242,320,14477
2019/1/2,4475,685,2288,13473,440,3890,17183,795,6697
2019/1/3,2649,223,7113,4155,231,7697,4596,653,6788
2019/1/4,3213,0,2425,7043,0,3052,8692,0,5289
2019/1/5,497,187,9503,1012,424,10685,1208,650,8133
2019/1/6,301,3,1981,1209,92,5399,1658,97,5280
2019/1/7,75,132,10812,148,1017,18084,246,520,139000
2019/1/8,1814,0,3451,4226,0,8048,5902,0,13272
2019/1/9,2238,78,821,9380,113,1994,7875,214,5051
2019/1/10,4956,165,7650,10374,1323,5785,8248,625,16151
2019/1/11,14774,0,34131,12716,0,9043,13553,0,46130
2019/1/12,11492,0,711,14841,0,2169,24312,0,3607
2019/1/13,2932,116,364,6702,155,1046,6256,282,912
2019/1/14,1035,251,22726,778,515,7582,1728,1422,17236
2019/1/15,4943,0,19932,1185,0,14394,1729,0,11603
2019/1/16,794,197,11376,2468,288,7602,4254,154,7866
2019/1/17,435,2075,13029,456,1762,10503,1160,2525,25035
2019/1/18,593,1535,3703,785,1629,5704,1347,5878,16400
2019/1/19,971,134,2162,2899,63,1192,1683,297,2448
2019/1/20,28031,32,4453,12425,16,5638,256486,147,12307
2019/1/21,12027,0,3909,7012,0,2629,13546,0,11930
2019/1/22,5184,0,5446,7549,0,6330,11844,0,10417
2019/1/23,1442,41,2231,1309,25,4054,2344,52,5445
2019/1/24,378,0,4069,440,0,7337,1902,0,24797
2019/1/25,2091,0,8186,2140,0,7793,3517,0,7727
2019/1/26,1132,0,26894,1719,0,9487,2230,0,6610
2019/1/27,646,116,1763,1251,699,2909,2028,764,4823
2019/1/28,700,0,7257,999,0,6563,1009,0,18175
2019/1/29,3723,197,4667,9226,756,6421,10495,178,14703
2019/1/30,1658,817,4742,1259,567,3577,2040,1514,6629
2019/1/31,1253,256,3134,1707,122,4358,2012,195,8519
2019/2/1,485,70,21446,395,377,11346,1083,537,14319
2019/2/2,898,70,15380,986,125,13292,6517,518,25747
2019/2/3,2331,0,2016,1122,0,2317,3137,0,3914
2019/2/4,235,2440,11875,1089,1123,14048,1868,543,9465
2019/2/5,92,350,3589,40,227,4790,80,2342,5571
2019/2/6,407,436,1920,1561,275,1987,2016,628,2469
2019/2/7,216,4,2564,470,12,2708,533,40,4658
2019/2/8,1276,49,1488,876,38,4144,1344,112,9086
2019/2/9,203,3,1163,353,29,1768,777,56,5842
2019/2/10,139,10,630,772,53,2952,549,38,3974
2019/2/11,4397,28,135531,11992,1034,197177,9906,219,251744
2019/2/12,2797,0,1289,3037,0,2400,11597,0,3845
2019/2/13,1499,39,28244,1664,591,194450,8956,1040,235022
2019/2/14,671,0,5953,2316,0,7727,4681,0,13080
2019/2/15,636,0,4569,869,0,3514,2291,0,7690
2019/2/16,805,85,1080,1683,216,1410,3499,239,2402
2019/2/17,726,14,1267,1104,17,1454,1270,23,2078
2019/2/18,293,644,1378,316,303,2729,581,695,9611
2019/2/19,491,147,22706,680,628,16080,2774,507,26238
2019/2/20,1682,618,2318,6415,1135,4129,6122,1513,6978
2019/2/21,503,3335,1267,554,1884,3918,1542,10763,7473
2019/2/22,919,26,1452,1061,7,2270,2464,62,4150
2019/2/27,578,242,2000,521,600,5358,1957,638,5484
2019/2/28,1771,0,3290,3335,0,2563,2283,0,8503
2019/3/1,1786,34,1509,2291,284,1977,2063,399,4059
2019/3/2,1606,0,30183,3519,0,7285,4272,0,10276
2019/3/3,472,159,626,584,316,1218,1760,57,1612
2019/3/4,2305,873,3494,5068,1012,5997,7143,5324,22212
2019/3/5,130,19,1759,785,31,3481,702,56,7688
2019/3/6,534,0,110459,1693,0,7639,5069,0,19992
2019/3/7,11261,46496,81399,11140,37717,57171,55098,187097,320605
2019/3/8,1777,301,14315,1516,810,12005,4645,1766,11840
2019/3/9,1191,589,1176,1437,710,2143,2040,3549,5112
2019/3/10,3172,199,1362,4155,398,1391,9546,815,1432
2019/3/11,321,0,4893,475,0,9919,875,0,15266
2019/3/12,2586,198,1148,6706,278,2315,13803,145,4420
2019/3/13,1934,508,98278,2786,1131,39628,4484,2127,75232
2019/3/14,1053,118,7587,6995,163,3607,10639,337,7572
2019/3/15,392,331,20883,805,1766,8900,994,1529,24421
2019/3/16,7246,256,2080,2173,658,2991,32400,2309,9563
2019/3/17,233,6,3688,1018,276,3150,1013,229,5889
2019/3/18,11436,199,948,4195,172,1478,3649,1087,3592
2019/3/19,6639,97,38798,4760,696,39050,1784,1091,40309
2019/3/20,513,310,15590,377,644,11664,893,826,26343
2019/3/21,8863,123,2415,1650,1113,3169,5444,1088,6287
2019/3/22,569,0,9188,1305,0,7820,2968,0,9263
2019/3/23,495,186,8432,3024,295,2731,1836,778,5568
2019/3/24,1351,38,1753,2528,260,4650,5507,401,5049
2019/3/25,346,2885,4499,446,3446,5478,732,1820,12695
2019/3/26,48,0,63913,147,0,42845,240,0,165794
2019/3/27,2687,0,23349,4796,0,37815,9809,0,38933
2019/3/28,1083,0,5172,2889,0,8249,8770,0,10802
2019/3/29,719,1681,12382,2023,1829,3220,3037,2947,8070
2019/3/30,1383,449,6801,4129,710,6156,4336,1987,6600
2019/3/31,589,636,1584,1540,990,2381,2613,1278,6048
2019/4/1,535,170,931,1433,445,2513,3782,1341,11983
2019/4/2,530,0,162480,1015,0,9236,3305,0,19456
2019/4/3,294,27,14222,647,144,11202,1204,412,14769
2019/4/4,933,15,6496,2387,123,10040,4525,173,12780
2019/4/5,766,17,2393,1188,482,2683,1815,489,7680
2019/4/6,1149,440,2049,1986,1952,3674,3434,6031,6596
2019/4/7,552,574,21774,2380,257,8982,3632,1049,14478
2019/4/8,304,48,1625,1075,623,4082,1291,1002,10262
2019/4/9,1112,98,22544,5573,1386,10986,10603,1988,16809
2019/4/10,667,4405,3429,1268,715,5441,3261,549,10399
2019/4/11,0,0,176971,0,0,69285,0,0,227807
2019/4/12,217,189,5794,1908,342,5500,3898,428,27005
2019/4/13,1216,20,23106,6216,158,15557,7810,640,17140
2019/4/14,414,0,16106,2259,0,13458,2992,0,11527
2019/4/15,1011,138,6248,2880,112,8135,3066,571,9836
2019/4/16,161,592,13732,1442,1078,14524,1700,1147,32233
2019/4/17,2734,0,11224,6445,0,10642,7089,0,33317
2019/4/18,4295,662,2193,4923,81,2862,9983,276,9907
2019/4/19,619,152,2313,1508,333,3400,2889,547,5125
2019/4/20,140,205,2590,1789,103,7892,3799,294,7609
2019/4/21,951,135,4588,2587,735,3833,5378,1252,13210
2019/4/22,709,23,20709,3270,152,16036,5321,257,20008
2019/4/23,436,227,8817,3595,1169,6889,4324,2430,15869
2019/4/24,723,0,46596,2714,0,23645,2480,0,30094
2019/4/25,518,63,8856,2286,59,11013,3351,454,14761
2019/4/26,240,20,235,561,353,394,1177,479,1153
2019/4/28,273,0,5241,2599,0,7036,1672,0,10916
2019/4/29,763,266,29690,850,1731,33288,785,4829,68386
2019/4/30,419,0,13990,603,0,11454,1120,0,18036
2019/5/1,253,36,3395,2414,1845,2714,3065,657,6334
2019/5/2,1103,175,1309,1538,330,2605,5929,580,3281
2019/5/3,445,155,2482,1024,373,3871,3921,559,18297
2019/5/4,1323,212,6495,2750,496,6449,6135,1512,10940
2019/5/5,949,0,27476,1877,0,14107,1604,0,15213
2019/5/6,354,80,18753,396,282,22431,662,49,22816
2019/5/7,138,0,24502,1223,0,18691,2550,0,21535
2019/5/8,613,257,65378,2005,329,10071,1761,892,14698
2019/5/9,4182,0,8488,4293,0,6045,15701,0,11696
2019/5/10,2164,0,16106,6562,0,12982,16604,0,19753
2019/5/11,835,0,2740,3068,0,3266,3943,0,8117
2019/5/12,278,53,2158,4026,172,5366,5124,835,4374
2019/5/13,522,81,6390,804,837,6483,15206,1081,42845
2019/5/14,1544,25,10140,2156,48,12320,1859,44,20216
2019/5/15,402,28,23615,620,8,26607,1938,63,13966
2019/5/16,5068,315,11804,6762,886,19953,7182,1427,52344
2019/5/17,12688,0,134010,13594,0,75928,72954,0,564168
2019/5/18,5057,272,8423,3923,533,9502,17405,460,54630
2019/5/19,6277,365,7154,6114,385,13202,10709,1826,39843
2019/5/20,10572,0,9358,17720,0,24942,65254,0,64558
2019/5/21,10740,2700,80191,5401,1601,35908,39941,10409,492533
2019/5/22,3539,0,37475,4018,0,28386,14089,0,168957
2019/5/23,13599,51,90827,11653,733,101343,67355,3875,199853
2019/5/24,11269,636,59636,10136,695,21074,72055,3853,137873
2019/5/25,14080,508,10776,6863,135,15655,70360,1813,156982
2019/5/26,13744,217,72707,18196,460,31267,48180,5566,796972
2019/5/27,30432,5765,22391,9864,1384,8336,59513,20145,58912
2019/5/28,22774,0,99531,86965,0,35791,35181,0,288611
2019/5/29,6455,0,24641,4945,0,24949,15123,0,195389
2019/5/30,5865,0,6938,4901,0,6104,74457,0,64063
2019/5/31,760,0,20168,590,0,9556,4221,0,286438
2019/6/1,829,103,45444,1181,119,16435,13768,2792,258786
2019/6/2,5978,265,40169,3472,403,15626,40940,2574,130414
2019/6/3,468,111,8389,955,234,7256,3727,1614,34705
2019/6/4,2920,638,4688,4454,1370,3103,120639,5829,23746
2019/6/5,157,133,19942,219,571,25604,1536,5546,774171
2019/6/6,413,0,23364,753,0,15718,10025,0,209312
2019/6/7,1831,21,12577,3249,37,10550,19840,304,48223
2019/6/8,555,0,5673,1098,0,3886,5483,0,40927
2019/6/9,1126,125,5226,2485,2217,6058,11403,11028,61049
2019/6/10,1016,0,12718,4457,0,11342,31698,0,113161
2019/6/11,741,0,37279,1970,0,18852,9644,0,395125
2019/6/12,1622,0,7420,2376,0,3432,18220,0,29597
2019/6/13,1043,3323,3805,1561,1396,4032,15793,17916,60488
2019/6/14,2190,0,69343,1625,0,20213,13033,0,85052
2019/6/15,522,71,4956,1422,242,7565,9498,2067,65272
2019/6/16,4712,443,1649,8926,1839,7077,53677,17397,40073
2019/6/17,456,9443,18561,2576,759,833288,11714,11650,1805263
2019/6/18,0,50,20521,0,198,20832,0,17227,201836
2019/6/19,5126,188,12117,2290,1901,6660,19753,4187,55615
2019/6/20,3516,0,26017,5261,0,7408,38191,0,62687
2019/6/21,1506,471,97772,32,1436,80591,869,23262,359701
2019/6/22,1110,0,12971,3319,0,7358,16475,0,78560
2019/6/23,1817,0,4473,3170,0,4277,33203,0,45101
2019/6/24,1228,221,1384,3828,148,2866,20954,1427,12862
2019/6/25,250,0,9805,183,0,13439,2086,0,99251
2019/6/26,3715,19,6741,3030,208,6770,28142,4725,38969
2019/6/27,10491,53,6658,3973,33,14415,44344,541,328443
2019/6/28,3073,0,11222,4632,0,11087,74909,0,159289
2019/6/29,437,0,23751,517,0,19480,6855,0,240389
2019/6/30,3501,654,3974,7189,872,3879,33711,14587,17827
2019/7/1,441,199,2419,608,1524,1851,5651,2765,10206
2019/7/2,434,0,6437,2807,0,7886,11055,0,32727
2019/7/3,641,0,3626,2749,0,2970,12609,0,12462
2019/7/4,453,24,1300,1508,74,3046,7863,1368,9307
2019/7/5,686,47,1350,805,69,1661,4609,262,9933
2019/7/6,1005,0,15873,2083,0,19729,11020,0,68620
2019/7/7,3710,95,1850,5499,124,1971,36004,593,10456
2019/7/8,152274,87,5647,149130,666,4318,182821,2203,47864
2019/7/9,3898,1140,10774,4724,699,12891,42314,7016,44686
2019/7/10,1690,222,5569,1916,706,14720,18428,17322,82954
2019/7/11,867,112,9698,951,57,6959,8644,358,67004
2019/7/12,281,13,2666,781,15,3626,8289,1024,20288
2019/7/13,1158,43,2266,3128,541,3752,21797,1579,15421
2019/7/14,1354,7,2150,2844,8,4692,38139,42,30803
2019/7/15,14640,335,5687,5840,1164,4642,29920,5760,47306
2019/7/16,10695,20,2812,2823,402,4660,14269,4177,24949
2019/7/17,162,0,9039,414,0,25293,4014,0,599104
2019/7/18,1834,31,3798,2144,30,5127,15457,147,33364
2019/7/19,884,35,12868,1926,81,8369,6231,917,78275
2019/7/20,531,0,14589,2284,0,3865,12594,0,26875
2019/7/21,388,149,1605,1061,261,1334,4618,1013,5499
2019/7/22,208,60,12095,1049,857,11923,11987,4226,131532
2019/7/23,24,28,15745,0,232,15692,3716,31214,348198
2019/7/24,774,293,3606,456,1354,6019,5354,51557,49780
2019/7/25,4074,0,10669,3559,0,10051,48857,0,108383
2019/7/26,7414,2742,3866,6294,8572,6646,358625,139654,49237
2019/7/27,661,108,4500,2074,473,6145,8655,13912,22203
2019/7/28,1620,163,2085,3103,119,2418,44630,1533,8325
2019/7/29,980,0,1357,1764,0,3273,42112,0,26129
2019/7/30,1177,132,865,3467,314,2181,36116,3417,16304
2019/7/31,1225,79,2793,1999,636,3853,8731,2830,15967
2019/8/1,646,243,17848,1714,827,10935,9815,2533,18421
2019/8/2,717,0,3807,1859,0,13242,12096,0,47258
2019/8/3,75,60,2583,777,437,2698,5504,7581,20805
2019/8/4,352,20,1225,1242,221,1581,9204,696,9812
2019/8/5,348,92,7777,1108,1591,4367,4473,8380,27817
2019/8/6,673,29,12229,2650,276,6048,20669,1493,39863
2019/8/7,1266,76,1498,1803,672,2480,11775,8105,9343
2019/8/8,259,0,5527,1124,0,10416,22878,0,118722
2019/8/9,161,0,81961,545,0,58604,49389,0,1632650
2019/8/10,590,0,5699,1230,0,8737,93018,0,123817
2019/8/11,1374,0,7452,2117,0,7554,23298,0,52307
2019/8/12,3733,338,2417,2156,1004,4240,14857,3288,36447
2019/8/13,2911,0,2329,8426,0,9536,80664,0,63548
2019/8/14,823,1723,21630,2625,1455,22335,14542,17914,964972
2019/8/15,98,303,4113,85,360,3737,3386,2219,130301
2019/8/16,225,0,18369,906,0,12716,15887,0,60597
2019/8/17,5331,0,9905,6957,0,4243,79358,0,61373
2019/8/18,1472,476,2414,2843,709,3165,33987,19941,51616
2019/8/19,1558,0,24198,2227,0,14791,36889,0,196966
2019/8/20,3624,57,3108,4177,226,4234,54343,2515,63848
2019/8/21,3594,1788,23649,3143,410,11303,64675,2081,84929
2019/8/22,1279,43,11134,1532,10,16274,21135,144,185064
2019/8/23,333,12177,103044,460,2778,22466,5117,77578,409722
2019/8/24,537,0,10427,1743,0,6940,18962,0,29698
2019/8/25,1034,63,12270,1027,478,4560,4842,849,76314
2019/8/26,549,104,12427,1558,116,12740,51622,594,118313
2019/8/27,144,185,4004,388,62,2499,8704,351,14616
2019/8/28,942,0,3203,1862,0,5877,74972,0,27957
2019/8/29,231,20,2232,221,48,4644,15767,192,90941
2019/8/30,889,50,10023,749,199,11596,3797,358,122501
2019/8/31,223,623,9335,666,3066,8904,5432,14350,35976
2019/9/1,322,100,3469,2074,431,7258,8663,2376,79313
2019/9/2,1125,368,5935,4540,1208,32126,52422,4018,132793
2019/9/3,280,0,7036,1190,0,5755,6636,0,70634
2019/9/4,925,25,3486,2718,162,9480,19704,1104,73022
2019/9/5,635,0,18778,2533,0,8441,12324,0,53249
2019/9/6,369,0,4956,328,0,13012,2094,0,113180
2019/9/7,1162,9,2113,4191,34,5658,33376,1098,24807
2019/9/8,470,16,2500,1243,49,5224,8004,3006,27131
2019/9/9,359,0,5946,230,0,10251,1504,0,55584
2019/9/10,10900,785,18225,1708,542,11564,8673,4623,41197
2019/9/11,5117,131,17988,30943,739,36590,628816,30102,1062556
2019/9/12,789,39,53619,1957,133,19978,13734,1975,136702
2019/9/13,998,0,2439,3033,0,5451,17166,0,59911
2019/9/14,1174,252,1959,3608,266,6655,17378,608,17310
2019/9/15,1005,268,7648,4979,503,6839,20988,988,25004
2019/9/16,2107,0,13017,3309,0,19269,35708,0,273777
2019/9/17,1172,189,1470,3904,1087,6821,15293,9794,36161
2019/9/18,950,77,3224,3313,316,9100,20834,1516,177272
2019/9/19,1222,0,36373,2629,0,76149,96017,0,1724117
2019/9/20,346,2023,19570,2990,2922,20452,62280,19300,525111
2019/9/21,879,0,3114,4114,0,5748,23640,0,23552
2019/9/22,1428,17,3589,7406,1,7784,73220,1257,65245
2019/9/23,776,0,9997,493,0,15036,2138,0,200841
2019/9/24,7370,299,7830,5951,1906,16481,38006,131120,211701
2019/9/25,256,360,2116,1430,2127,5181,16409,18707,26743
2019/9/26,2089,652,34024,16285,10341,65175,596982,69132,416984
2019/9/27,1794,62,6671,9029,286,17888,116550,1656,133115
2019/9/28,781,0,10329,3720,0,9647,33119,0,40087
2019/9/29,5314,22,9444,2514,191,12354,10332,2306,115390
2019/9/30,724,6,12534,1289,147,10004,3317,829,31908
2019/10/1,538,29,6801,3884,76,3130,23373,1499,40944
2019/10/2,953,671,639,3869,2853,2945,16696,11893,19979
2019/10/3,641,50,3633,6740,487,5078,25489,1980,29803
2019/10/4,407,410,2017,3691,5564,5181,13111,377375,15035
2019/10/5,2536,24,8599,7240,129,9687,137028,453,123024
2019/10/6,566,0,676,2687,0,3066,14090,0,12446
2019/10/7,2270,6,1568,7177,58,3170,71407,3037,22353
2019/10/8,179,109,84188,475,249,32898,2331,1634,250418
2019/10/9,764,92,3852,3751,47,6393,22732,477,20695
2019/10/10,815,0,1928,2760,0,3232,14580,0,27261
2019/10/11,1352,68,8144,5162,287,7827,37884,3690,32737
2019/10/12,678,581,3783,3527,303,6608,20365,1950,95281
2019/10/13,449,348,2928,2248,1339,8150,10138,10520,123587
2019/10/14,314,0,2508,741,0,4253,4818,0,21278
2019/10/15,518,0,2681,434,0,3402,5970,0,34236
2019/10/16,296,144,2360,1352,409,6225,65947,3016,88863
2019/10/17,576,226,4629,2003,1426,4631,10824,7651,20381
2019/10/18,387,1024,14360,1344,1551,10804,3731,8323,56537
2019/10/19,307,398,16828,287,1072,11649,1835,8376,180705
2019/10/20,989,67,5261,977,769,2858,9203,4085,14021
2019/10/21,281,222,5087,1723,722,6692,15642,411,29409
2019/10/22,284,681,9603,1568,406,4637,9163,2228,25647
2019/10/23,2016,107,5413,5352,317,8724,83604,1734,83214
2019/10/24,189,59,5756,1578,331,4892,5381,985,15467
2019/10/25,426,84,5754,1221,1301,3820,39074,5581,91596
2019/10/26,651,295,20233,1852,247,7975,12812,6595,27432
2019/10/27,215,0,5337,736,0,5376,3846,0,28193
2019/10/28,18628,316,8520,4971,803,13560,7415,8206,138273
2019/10/29,2340,121,9051,1559,236,10517,8803,819,51531
2019/10/30,99,21,4919,921,73,7688,11886,352,44459
2019/10/31,1958,255,8039,1604,532,21399,12939,3335,37438
2019/11/1,4000,0,36566,10727,0,35827,124407,0,285863
2019/11/2,2489,336,2982,4049,636,6812,24198,4766,18512
2019/11/3,1088,146,10453,2375,674,9036,12670,1777,79628
2019/11/4,602,6,16242,3569,110,8388,14208,615,26527
2019/11/5,1284,0,5861,2255,0,7641,10627,0,76743
2019/11/6,367,167,6017,1280,195,16181,8257,529,47247
2019/11/7,2719,261,4400,1201,418,6450,12155,1555,33289
2019/11/8,681,0,9939,1691,0,11998,5453,0,66635
2019/11/9,456,0,10355,2313,0,19685,10392,0,585079
2019/11/10,672,0,26655,2787,0,16483,8622,0,97544
2019/11/11,2942,341,24480,3071,460,35414,65387,5068,239266
2019/11/12,482,0,10528,2018,0,9431,12122,0,42387
2019/11/13,1375,9,5279,4509,279,3032,18667,843,15373
2019/11/14,213,24,3680,1615,438,4128,6574,2337,20645
2019/11/15,539,0,2764,2334,0,4367,10085,0,23753
2019/11/16,579,2786,4047,1883,2241,5121,14165,24513,16610
2019/11/17,428,0,3272,1814,0,3503,10167,0,24399
2019/11/18,1525,49,29635,4000,83,20423,31040,1087,61307
2019/11/19,74,0,22971,157,0,12893,1381,0,82875
2019/11/20,176,71,41621,2272,348,17039,6317,593,45429
2019/11/21,403,0,11271,3178,0,14915,13890,0,41410
2019/11/22,1631,1155,26906,2372,204,8299,89351,1999,33310
2019/11/23,2725,0,11236,5458,0,7040,9041,0,24344
2019/11/24,765,15,8067,1347,11,6750,8943,121,116008
2019/11/25,1276,2595,20737,3557,231,16861,26536,653,74833
2019/11/26,1585,189,14469,986,259,21387,6462,1344,136900
2019/11/27,724,10782,16130,1423,4199,15236,16080,3468,32862
2019/11/28,3558,5990,68638,4742,1262,44889,38054,10075,82479
2019/11/29,3423,6,34607,5077,76,10340,25804,3206,62683
2019/11/30,2379,307,31857,4609,1492,9196,30676,6556,61828
